Cable Length (m),Cable Number,D3 TAP0,D0 TAP0
0.35,134,90,80
0.35,135,90,150
0.35,137,80,90
0.35,138,100,110
0.8,139,100,90
0.8,141,100,120
0.8,142,80,130
0.8,143,90,100
1,144,120,130
1,145,110,120
1,146,100,150
1,147,110,180
1,148,100,120
1.4,149,110,170
1.4,150,150,150
1.4,151,130,180
1.4,152,150,170
1.4,153,130,130
1.6,154,150,180
1.6,155,120,170
1.6,156,120,140
1.6,157,140,160
1.6,158,150,310
1.6,159,150,150
1.6,160,140,170
1.6,161,190,180
1.6,162,170,150
1.6,163,170,250
1.6,164,320,210
1.6,165,180,180
1.8,167,190,240
1.8,168,140,210
1.8,169,300,210
1.8,170,230,340
1.8,172,200,210
1.8,175,300,370
1.8,176,210,340
2,179,250,250
2,180,170,180
2,181,220,300