Cable Length (m),D3 D0 TAP0,,,,,
0.35,90,,,,,
0.35,90,,,,,
0.35,80,,,,,
0.35,100,,,,,
0.8,100,,,,,
0.8,100,,,,,
0.8,80,,,,,
0.8,90,,,,,
1,120,,,,,
1,110,,,,,
1,100,,,,,
1,110,,,,,
1,100,,,,,
1.4,110,,,,,
1.4,150,,,,,
1.4,130,,,,,
1.4,150,,,,,
1.4,130,,,,,
1.6,150,,,,,
1.6,120,,,,,
1.6,120,,,,,
1.6,140,,,,,
1.6,150,,,,,
1.6,150,,,,,
1.6,140,,,,,
1.6,190,,,,,
1.6,170,,,,,
1.6,170,,,,,
1.6,320,,,,,
1.6,180,,,,,
1.8,190,,,,,
1.8,140,,,,,
1.8,300,,,,,
1.8,230,,,,,
1.8,200,,,,,
1.8,300,,,,,
1.8,210,,,,,
2,250,,,,,
2,170,,,,,
2,220,,,,,
0.35,80,,,,,
0.35,150,,,,,
0.35,90,,,,,
0.35,110,,,,,
0.8,90,,,,,
0.8,120,,,,,
0.8,130,,,,,
0.8,100,,,,,
1,130,,,,,
1,120,,,,,
1,150,,,,,
1,180,,,,,
1,120,,,,,
1.4,170,,,,,
1.4,150,,,,,
1.4,180,,,,,
1.4,170,,,,,
1.4,130,,,,,
1.6,180,,,,,
1.6,170,,,,,
1.6,140,,,,,
1.6,160,,,,,
1.6,310,,,,,
1.6,150,,,,,
1.6,170,,,,,
1.6,180,,,,,
1.6,150,,,,,
1.6,250,,,,,
1.6,210,,,,,
1.6,180,,,,,
1.8,240,,,,,
1.8,210,,,,,
1.8,210,,,,,
1.8,340,,,,,
1.8,210,,,,,
1.8,370,,,,,
1.8,340,,,,,
2,250,,,,,
2,180,,,,,
2,300,,,,,